unit,band,support_lo,support_hi,frac_all,frac_primary_qc
S2A,B1,430,455,0.9999,1.0
S2A,B2,456,530,1.0,1.0
S2A,B3,539,582,1.0,1.0
S2A,B4,647,683,1.0,1.0
S2A,B5,695,713,0.9466,0.9429
S2A,B6,732,749,0.9451,0.9418
S2A,B7,770,796,0.8347,0.8281
S2A,B8,775,905,0.0,0.0
S2A,B8A,850,879,0.324,0.3194
S3A,Oa1,391,408,0.3591,0.3677
S3A,Oa2,406,418,0.9999,1.0
S3A,Oa3,437,449,1.0,1.0
S3A,Oa4,484,497,1.0,1.0
S3A,Oa5,504,517,1.0,1.0
S3A,Oa6,554,567,1.0,1.0
S3A,Oa7,614,627,1.0,1.0
S3A,Oa8,659,672,1.0,1.0
S3A,Oa9,669,679,1.0,1.0
S3A,Oa10,676,687,1.0,1.0
S3A,Oa11,703,715,0.9466,0.9429
S3A,Oa12,749,759,0.8805,0.8772
S3A,Oa13,759,764,0.8748,0.8711
S3A,Oa14,762,768,0.8748,0.8711
S3A,Oa15,765,770,0.8748,0.8711
S3A,Oa16,770,788,0.8351,0.8285
S3A,Oa17,854,877,0.324,0.3194
S3A,Oa18,878,891,0.3238,0.3192
S3A,Oa19,893,906,0.0,0.0
S3A,Oa20,928,951,0.0,0.0
S3A,Oa21,998,1040,0.0,0.0
