band,n,median_rel_diff,p95_rel_diff,unit
B1,1148,0.004515111712669239,0.007769213842925095,S2A
B2,1159,0.0020933579664148307,0.007041343301800799,S2A
B3,1171,0.0007994716865574211,0.0027014595108351526,S2A
B4,1170,0.0009914373945182097,0.003916329904218608,S2A
B5,863,0.00047189920413773316,0.002438807725966586,S2A
B6,748,0.0007851448004282146,0.0038313500974557556,S2A
Oa2,1145,0.00048630912875317976,0.0014391047993748325,S3A
Oa3,1148,0.0012713560980498772,0.002272445737341958,S3A
Oa4,1161,0.00013962105547258533,0.0006903016513691656,S3A
Oa5,1168,0.00026707378256749133,0.0007463997352128067,S3A
Oa6,1171,6.928000569353821e-05,0.00023722994966795586,S3A
Oa7,1170,0.00011764076939767181,0.00037365449963049817,S3A
Oa8,1170,7.31006617937242e-05,0.0004469094105157627,S3A
Oa9,1170,3.517233455266585e-05,0.00044234770266045033,S3A
Oa10,1170,0.0003566050291567964,0.0021727133411690407,S3A
Oa11,858,0.0008538425483138092,0.004686746860541825,S3A
