unit,band,centroid_nm,support_lo,support_hi,fwhm_nm,frac_integral_in_support
S2A,B1,442.7481924389438,430,455,20,0.999499334661977
S2A,B2,492.70727354975753,456,530,65,0.999915295369337
S2A,B3,559.8530031009705,539,582,35,0.9998109273911315
S2A,B4,664.6215907621844,647,683,30,0.9999493918091784
S2A,B5,704.1103892314023,695,713,14,0.9999999999999999
S2A,B6,740.4930498577515,732,749,14,0.9999999999999999
S2A,B7,782.7525336045546,770,796,19,0.9999233985741693
S2A,B8,832.7914392531885,775,905,105,0.9999035220816054
S2A,B8A,864.7134518597351,850,879,20,0.9995577075630845
S2B,B1,442.3356452328326,430,455,20,0.9995058933003371
S2B,B2,492.3231846607524,456,530,65,0.9999409852991152
S2B,B3,558.9532233034078,538,581,35,0.9997293978327737
S2B,B4,664.9366862470922,647,683,30,0.9998621283647987
S2B,B5,703.8336425722828,695,713,15,1.0
S2B,B6,739.1228836105321,730,747,13,1.0
S2B,B7,779.7205125685939,767,792,19,0.9995418358176652
S2B,B8,832.9422736705237,776,906,105,1.0000000000000002
S2B,B8A,863.979591069687,849,879,21,0.9999999999999998
S2C,B1,444.2457328514617,433,455,21,0.9992953637079878
S2C,B2,489.0675254143927,454,525,65,1.0
S2C,B3,560.6350461763981,541,581,36,1.0
S2C,B4,666.5246391407452,648,685,30,0.9998484477306594
S2C,B5,707.0611942369412,697,717,15,1.0
S2C,B6,741.0748990425141,731,752,15,0.9999999999999998
S2C,B7,784.6543812428946,772,798,20,0.9994990947772202
S2C,B8,834.6032622177178,777,907,96,0.999879952418426
S2C,B8A,865.5702888764835,852,880,20,1.0000000000000002
S3A,Oa1,400.30317922269535,391,408,14,0.9993719142425646
S3A,Oa2,411.8453068677853,406,418,10,0.9987686047350531
S3A,Oa3,442.9625361032919,437,449,10,0.9987537626252008
S3A,Oa4,490.49301127028895,484,497,10,0.9997748034455209
S3A,Oa5,510.46751971085797,504,517,10,0.9997871715699088
S3A,Oa6,560.4502656527837,554,567,10,0.9997822775720084
S3A,Oa7,620.4092496607171,614,627,10,0.9997997946168391
S3A,Oa8,665.27442617034,659,672,10,0.9997319479876396
S3A,Oa9,674.0251534216422,669,679,7,0.9993480009491638
S3A,Oa10,681.5705636136612,676,687,8,0.9999054476109045
S3A,Oa11,709.1148687234139,703,715,10,0.9988335129715441
S3A,Oa12,754.1812904175114,749,759,7,0.9993280180194589
S3A,Oa13,761.7260926645146,759,764,3,0.9978189327006194
S3A,Oa14,764.8246810659923,762,768,4,0.9981555310824913
S3A,Oa15,767.9174329510397,765,770,3,0.9964564078266535
S3A,Oa16,779.2567438086415,770,788,15,0.9998579921518392
S3A,Oa17,865.4296336471854,854,877,20,0.9999328162729713
S3A,Oa18,884.3082594309477,878,891,10,0.9998520271557331
S3A,Oa19,899.3107748613828,893,906,10,0.999852565101186
S3A,Oa20,938.9730830732996,928,951,20,0.9999063978605968
S3A,Oa21,1015.7991460208293,998,1040,27,0.9995680811524345
S3B,Oa1,400.59472333082215,391,408,14,0.9997945693105398
S3B,Oa2,411.9509001594735,406,418,9,0.999585841041488
S3B,Oa3,442.98818193947665,437,449,9,0.9993609415163128
S3B,Oa4,490.39909459793074,484,497,10,0.9998679350791541
S3B,Oa5,510.4022440815289,504,517,10,0.9998593553588198
S3B,Oa6,560.3663761309198,554,567,10,0.9998558992208333
S3B,Oa7,620.283932188947,614,626,10,0.9989556070357009
S3B,Oa8,665.1312072258229,659,671,10,0.9992673836444085
S3B,Oa9,673.8681287751702,669,679,7,0.9996192989185745
S3B,Oa10,681.3855165752099,676,686,8,0.9992179431123371
S3B,Oa11,708.9819591191148,703,715,10,0.9993481192123401
S3B,Oa12,754.0283989467504,749,759,7,0.9997145281814779
S3B,Oa13,761.5594278977728,759,764,2,0.9991464908934727
S3B,Oa14,764.6922259563468,762,768,4,0.998272264059171
S3B,Oa15,767.8224399276232,765,770,3,0.9983348310144613
S3B,Oa16,779.0790464498215,770,788,15,0.999951788070924
S3B,Oa17,865.2710986986301,854,877,20,0.9999625861537881
S3B,Oa18,884.1272939303421,878,890,10,0.9992440884037678
S3B,Oa19,899.1216212572319,893,905,10,0.9992345989327993
S3B,Oa20,938.7977397027381,928,950,20,0.9995733107352243
S3B,Oa21,1015.7337799774242,998,1040,27,0.9998856718212283
