raw_name,normalised_name,wb_node,dataset,country,n,lat_centroid,lon_centroid,wb_group,wb_5km,wb_raw,contrib_group,override
Aguilar,aguilar,aguilar,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,42.80659722222222,-4.307708333333332,wb2:aguilar,wb5:aguilar,raw:Aguilar,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Akan,akan,akan,MatsushitaB_JP_Tsukuba,Japan,2,43.455085,144.10165,wb2:akan,wb5:akan,raw:Akan,cg:MaR_CN_NIGLAS,
Alarcón,alarcon,alarcon,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,4,39.603680555555556,-2.1557638888888873,wb2:alarcon,wb5:alarcon,raw:Alarcón,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Albufera,albufera,albufera,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,29,39.33515325670499,-0.3508620689655172,wb2:albufera,wb5:albufera,raw:Albufera,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Alcántara,alcantara,alcantara,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,8,39.7200447719644,-6.507479869021234,wb2:alcantara,wb5:alcantara,raw:Alcántara,cg:Ruiz-VerduA_ES_UVEG-CEDEX,name normalised
Alcorlo,alcorlo,alcorlo,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,1,41.0169444444444,-3.02638888888889,wb2:alcorlo,wb5:alcorlo,raw:Alcorlo,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
Almendra,almendra,almendra,Ruiz-VerduA_ES_UVEG-CEDEX,Spain,13,41.23948717948717,-6.282329059829061,wb2:almendra,wb5:almendra,raw:Almendra,cg:Ruiz-VerduA_ES_UVEG-CEDEX,
"Altamaha River, GA","altamaha river, ga","altamaha river, ga",SchallesJ_US_Creighton,United States of America (the),23,31.32020570048309,-81.39093555555556,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Altamaha River, GA",cg:BindingC_CA_ECCC,
"Altamaha Sound, GA","altamaha sound, ga","altamaha sound, ga",SchallesJ_US_Creighton,United States of America (the),1,31.3207,-81.3169833333333,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Altamaha Sound, GA",cg:BindingC_CA_ECCC,
"Atlantic Ocean, GA","atlantic ocean, ga","atlantic ocean, ga",SchallesJ_US_Creighton,United States of America (the),137,31.370274155717755,-80.86437296216545,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Atlantic Ocean, GA",cg:BindingC_CA_ECCC,
"Doboy Sound, GA","doboy sound, ga","doboy sound, ga",SchallesJ_US_Creighton,United States of America (the),5,31.42868600000002,-81.32068399999999,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Doboy Sound, GA",cg:BindingC_CA_ECCC,
"Duplin River, GA","duplin river, ga","duplin river, ga",SchallesJ_US_Creighton,United States of America (the),22,31.278746409090914,-81.28321148484848,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Duplin River, GA",cg:BindingC_CA_ECCC,
"Intracoastal Waterway, GA","intracoastal waterway, ga","intracoastal waterway, ga",SchallesJ_US_Creighton,United States of America (the),6,31.511091666666648,-81.2880722222222,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Intracoastal Waterway, GA",cg:BindingC_CA_ECCC,
"Post Office Creek, GA","post office creek, ga","post office creek, ga",SchallesJ_US_Creighton,United States of America (the),2,31.43316666666665,-81.28418333333335,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Post Office Creek, GA",cg:BindingC_CA_ECCC,
"Sapelo Sound, GA","sapelo sound, ga","sapelo sound, ga",SchallesJ_US_Creighton,United States of America (the),15,31.539352657777766,-81.19597175999999,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Sapelo Sound, GA",cg:BindingC_CA_ECCC,
"South End Ceek, GA","south end ceek, ga","south end ceek, ga",SchallesJ_US_Creighton,United States of America (the),1,31.39631,-81.280065,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:South End Ceek, GA",cg:BindingC_CA_ECCC,
"Teakettle Creek, GA","teakettle creek, ga","teakettle creek, ga",SchallesJ_US_Creighton,United States of America (the),3,31.466855555555536,-81.3072833333333,"wb2:altamaha river, ga","wb5:altamaha river, ga","raw:Teakettle Creek, GA",cg:BindingC_CA_ECCC,
Amer,amer,amer,WernandMR_NL_NIOZ_LK,Netherlands (the),1,51.7099,4.815033,wb2:amer,wb5:amer,raw:Amer,cg:DekkerAG_NL_VU,
Amsterdam-Rhine Canal,amsterdam-rhine canal,amsterdam-rhine canal,DekkerAG_NL_VU,Netherlands (the),1,52.17486,4.99403,wb2:amsterdam-rhine canal,wb5:amsterdam-rhine canal,raw:Amsterdam-Rhine Canal,cg:DekkerAG_NL_VU,"manual merge (AUDIT_1 L2): same canal, English and Dutch names, 14.7 km"
Amsterdam-Rijn kanaal Weesp,amsterdam-rijn kanaal weesp,amsterdam-rijn kanaal weesp,WernandMR_NL_NIOZ_LK,Netherlands (the),1,52.305917,5.02155,wb2:amsterdam-rhine canal,wb5:amsterdam-rhine canal,raw:Amsterdam-Rijn kanaal Weesp,cg:DekkerAG_NL_VU,"manual merge (AUDIT_1 L2): same canal, English and Dutch names, 14.7 km"
Ankeveensche Plassen,ankeveensche plassen,ankeveensche plassen,DekkerAG_NL_VU,Netherlands (the),2,52.274950000000004,5.07545,wb2:ankeveensche plassen,wb5:amsterdam-rhine canal,raw:Ankeveensche Plassen,cg:DekkerAG_NL_VU,
