group_a,group_b,names_a,names_b,min_km,shared_tokens
"wb2:ashepoo river, sc","wb2:st. pierre creek, sc","ashepoo river, sc; edisto river, sc","st. pierre creek, sc",2.07,
wb2:lake rotomanuka,wb2:lake ruatuna,lake rotomanuka; serpentine,lake ruatuna,2.15,
"wb2:delaware bay, de","wb2:moore's lake, de","delaware bay, de; murderkill river, de; st. jones river, de","moore's lake, de",2.16,
"wb2:bangs lake, ms","wb2:bayou cassotte, ms","bangs lake, ms; bayou cumbest, ms; bayou heron, ms; crooked bayou, ms; gulf of mexico; middle bay, ms; mississippi sound, ms; n rigolets bayou, ms; point aux chenes bay, ms","bayou cassotte, ms",2.17,
wb2:lake elistvere,wb2:lake raigastvere,lake elistvere; lake kaiavere,lake raigastvere,2.17,
wb2:mcconaughy lake,wb2:ogallala lake,mcconaughy lake,ogallala lake,2.17,
wb2:lake humuhumu,wb2:lake kahuparere,lake humuhumu; lake swan/rotootuaruru,lake kahuparere; lake kanono; lake rotokawau,2.18,
"wb2:bush river, md","wb2:otter point creek, md","bush river, md","otter point creek, md",2.2,
wb2:lake elistvere,wb2:lake soitsjarv,lake elistvere; lake kaiavere,lake soitsjarv,2.23,
wb2:lake ruataniwha,wb2:lake wairepo arm,lake ruataniwha,lake wairepo arm,2.3,
wb2:breukeleveensche- of stille plas,wb2:hilversums kanaal,breukeleveensche- of stille plas; loosdrechtse plassen; loosdrechtse plassen stille plas,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,2.33,
"wb2:bangs lake, ms","wb2:grand bay, ms","bangs lake, ms; bayou cumbest, ms; bayou heron, ms; crooked bayou, ms; gulf of mexico; middle bay, ms; mississippi sound, ms; n rigolets bayou, ms; point aux chenes bay, ms","grand bay, ms",2.42,
"wb2:blackburn bay, fl","wb2:dona bay, fl","blackburn bay, fl","dona bay, fl; intracoastal waterway, fl; lyons bay, fl; roberts bay, fl",2.43,
"wb2:atlantic ocean, va","wb2:st. leonard creek, md","atlantic ocean, va; chesapeake bay, md; patuxent river, md; rhode river, md","st. leonard creek, md",2.61,
wb2:lake loch katrine,wb2:lake sumner,lake loch katrine,lake sumner,2.64,
"wb2:carter lake, ne","wb2:missouri river, ne","carter lake, ne","missouri river, ne",2.72,
wb2:lake saadjarv,wb2:lake soitsjarv,lake saadjarv,lake soitsjarv,2.72,
wb2:ankeveensche plassen,wb2:nightevecht,ankeveensche plassen; spiegel- en blijkpolderplas,nightevecht,2.85,
wb2:lake areare,wb2:lake b,lake areare,lake b; lake d (kainui),2.86,
"wb2:bangs lake, ms","wb2:gulf of mexico, la","bangs lake, ms; bayou cumbest, ms; bayou heron, ms; crooked bayou, ms; gulf of mexico; middle bay, ms; mississippi sound, ms; n rigolets bayou, ms; point aux chenes bay, ms","gulf of mexico, la; northern gulf of mexico",3.0,
"wb2:elizabeth river, va","wb2:knitting mill creek, va","elizabeth river, va","knitting mill creek, va; lafayette river, va",3.12,
"wb2:corpus christi bay, tx","wb2:nueces bay, tx","corpus christi bay, tx","nueces bay, tx",3.2,
wb2:elysian,wb2:francis,elysian,francis,3.21,
wb2:lake hakanoa,wb2:lake waahi,lake hakanoa,lake waahi,3.22,
"wb2:monie bay, md","wb2:wicomico river, md","monie bay, md","wicomico river, md",3.23,
wb2:ankeveensche plassen,wb2:hilversums kanaal,ankeveensche plassen; spiegel- en blijkpolderplas,hilversums kanaal; lake loosdrecht; loenderveensche plas; loenderveense plas; vecht (breukelen/nieuwersluis); vecht (loenen); vuntus; vuntus jachthaven; waterleidingplas; wijde blik; wijde gat,3.33,
