hypothesis,target,test,estimate,ci_lo,ci_hi,null_value,alternative,t,df,J,complete,unit,n_test_mean,n_train_mean,binding_arm,p_raw,p_holm,decision,note,se
H1,Chla,"IUT max p of NB one-sample 'less' (mdn native, lgbm gauss) on cov_wb",0.9231488500251089,0.8893789494046364,0.9569187506455815,0.88,less,2.6743217884348516,19,20,True,water_bodies,51.15,200.85,lgbm_gauss,0.9925018247946178,1.0,not_rejected,,
H2,Chla,"NB one-sample 'greater' (non-inferiority) on cov_wb, lgbm scp_gsub",0.901479544336272,0.8304853095206596,0.9724737791518844,0.88,greater,0.6332514617603913,19,20,True,water_bodies,51.15,200.85,lgbm_scp_gsub,0.26705915257783847,1.0,not_rejected,,0.03391945480324745
H3,Chla,NB paired 'less' on log10 width difference cqr_gsub - scp_gsub (lgbm),0.04201051458995286,-0.19858897759090358,0.2826100067708093,0.0,less,0.3654580347524055,19,20,True,water_bodies,51.15,200.85,lgbm_cqr_gsub_minus_scp_gsub,0.6405967903738847,1.0,not_rejected,,0.11495304684822323
H4,Chla,"Welch-type NB difference 'greater': cov_pooled(random) - cov_wb(waterbody), lgbm scp_pool",0.008100947077906429,-0.040008010125121514,0.05620990428093437,0.02,greater,-0.5176791483032149,19,20;20,True,random: rows; waterbody: water_bodies,884.5;51.15,3535.5;200.85,lgbm_scp_pool,0.6946713225043465,1.0,not_rejected,,0.022985381893581815
H1,TSS,"IUT max p of NB one-sample 'less' (mdn native, lgbm gauss) on cov_wb",0.8943202155223384,0.852427461022818,0.9362129700218589,0.88,less,0.7154591745192757,19,20,True,water_bodies,61.8,245.2,lgbm_gauss,0.7584871537351585,1.0,not_rejected,,
H2,TSS,"NB one-sample 'greater' (non-inferiority) on cov_wb, lgbm scp_gsub",0.9050010624988285,0.8461972800857667,0.9638048449118903,0.88,greater,0.8898717573682835,19,20,True,water_bodies,61.8,245.2,lgbm_scp_gsub,0.1923319519973699,1.0,not_rejected,,0.028095129766526037
H3,TSS,NB paired 'less' on log10 width difference cqr_gsub - scp_gsub (lgbm),-0.1455905170649133,-0.3620535234689286,0.07087248933910198,0.0,less,-1.4077437959161339,19,20,True,water_bodies,61.8,245.2,lgbm_cqr_gsub_minus_scp_gsub,0.08767899248534582,1.0,not_rejected,,0.10342117471039228
H4,TSS,"Welch-type NB difference 'greater': cov_pooled(random) - cov_wb(waterbody), lgbm scp_pool",0.022298013204640532,-0.04549781008234052,0.09009383649162159,0.02,greater,0.07094532791939986,19,20;20,True,random: rows; waterbody: water_bodies,848.35;61.8,3393.65;245.2,lgbm_scp_pool,0.4720913539428307,1.0,not_rejected,,0.03239132543373789
H1,aCDOM440,"IUT max p of NB one-sample 'less' (mdn native, lgbm gauss) on cov_wb",0.9089821411994757,0.861917729703533,0.9560465526954185,0.88,less,1.2888787249361469,19,20,True,water_bodies,49.45,196.55,lgbm_gauss,0.8935435695220286,1.0,not_rejected,,
H2,aCDOM440,"NB one-sample 'greater' (non-inferiority) on cov_wb, lgbm scp_gsub",0.9025894514925399,0.8374946254604161,0.9676842775246637,0.88,greater,0.7263290837653243,19,20,True,water_bodies,49.45,196.55,lgbm_scp_gsub,0.2382452339759391,1.0,not_rejected,,0.03110084945991023
H3,aCDOM440,NB paired 'less' on log10 width difference cqr_gsub - scp_gsub (lgbm),-0.22467932980883268,-0.4548131852257693,0.005454525608103916,0.0,less,-2.043416171715585,19,20,True,water_bodies,49.45,196.55,lgbm_cqr_gsub_minus_scp_gsub,0.027564670765631433,0.4410347322501029,not_rejected,,0.10995280007997553
H4,aCDOM440,"Welch-type NB difference 'greater': cov_pooled(random) - cov_wb(waterbody), lgbm scp_pool",-0.0054111003269495805,-0.07426436394672901,0.06344216329282985,0.02,greater,-0.7724549489330175,19,20;20,True,random: rows; waterbody: water_bodies,809.9;49.45,3239.1;196.55,lgbm_scp_pool,0.7753261194923073,1.0,not_rejected,,0.032896546733307386
H1,Secchi_depth,"IUT max p of NB one-sample 'less' (mdn native, lgbm gauss) on cov_wb",0.9244487052775249,0.8988056724268267,0.950091738128223,0.88,less,3.627972162061646,19,20,True,water_bodies,65.15,259.85,lgbm_gauss,0.9991046303262704,1.0,not_rejected,,
H2,Secchi_depth,"NB one-sample 'greater' (non-inferiority) on cov_wb, lgbm scp_gsub",0.895251000242912,0.8353689715860307,0.9551330288997933,0.88,greater,0.5330599359802037,19,20,True,water_bodies,65.15,259.85,lgbm_scp_gsub,0.30008618644162616,1.0,not_rejected,,0.028610291664234948
H3,Secchi_depth,NB paired 'less' on log10 width difference cqr_gsub - scp_gsub (lgbm),-0.09132181394606265,-0.19839370999212075,0.015750082099995455,0.0,less,-1.7851440045396125,19,20,True,water_bodies,65.15,259.85,lgbm_cqr_gsub_minus_scp_gsub,0.04510623397028479,0.6765935095542719,not_rejected,,0.05115655303652351
H4,Secchi_depth,"Welch-type NB difference 'greater': cov_pooled(random) - cov_wb(waterbody), lgbm scp_pool",-0.0017659577557077588,-0.06652725038894317,0.06299533487752765,0.02,greater,-0.7034552785710118,19,20;20,True,random: rows; waterbody: water_bodies,676.05;65.15,2700.95;259.85,lgbm_scp_pool,0.754848273371333,1.0,not_rejected,,0.0309414946745766
