key,value,rounding,source_file,filter
t1.Chla.n_positive_noqc,5131,integer,data/processed/gloria.parquet,Chla > 0
t1.Chla.n_positive_qcprimary,4761,integer,data/processed/gloria.parquet,Chla > 0 & qc_primary
t1.Chla.n_rows,4475,integer,data/processed/gloria.parquet,chla_primary
t1.Chla.n_wb_group,257,integer,data/processed/gloria.parquet,chla_primary; nunique wb_group
t1.Chla.n_wb_5km,238,integer,data/processed/gloria.parquet,chla_primary; nunique wb_5km
t1.Chla.n_datasets,43,integer,data/processed/gloria.parquet,chla_primary; nunique Dataset_ID
t1.Chla.n_regions,6,integer,data/processed/gloria.parquet,chla_primary; nunique region_grp
t1.Chla.p05,0.4514,3 significant figures,data/processed/gloria.parquet,chla_primary; Chla quantile (linear)
t1.Chla.median,9.952847499,3 significant figures,data/processed/gloria.parquet,chla_primary; Chla quantile (linear)
t1.Chla.p95,110.91600000000003,3 significant figures,data/processed/gloria.parquet,chla_primary; Chla quantile (linear)
t1.Chla.complete_hyp,4420,integer,data/processed/gloria.parquet,chla_primary & complete_hyp
t1.Chla.anyband_le0_hyp,232,integer,data/processed/gloria.parquet,chla_primary & complete_hyp; any hyp band <= 0
t1.Chla.complete_msi,4420,integer,data/processed/gloria.parquet,chla_primary & complete_msi
t1.Chla.anyband_le0_msi,177,integer,data/processed/gloria.parquet,chla_primary & complete_msi; any msi band <= 0
t1.Chla.complete_olci,4427,integer,data/processed/gloria.parquet,chla_primary & complete_olci
t1.Chla.anyband_le0_olci,31,integer,data/processed/gloria.parquet,chla_primary & complete_olci; any olci band <= 0
t1.TSS.n_positive_noqc,4621,integer,data/processed/gloria.parquet,TSS > 0
t1.TSS.n_positive_qcprimary,4357,integer,data/processed/gloria.parquet,TSS > 0 & qc_primary
t1.TSS.n_rows,4357,integer,data/processed/gloria.parquet,tss_primary
t1.TSS.n_wb_group,313,integer,data/processed/gloria.parquet,tss_primary; nunique wb_group
t1.TSS.n_wb_5km,269,integer,data/processed/gloria.parquet,tss_primary; nunique wb_5km
t1.TSS.n_datasets,38,integer,data/processed/gloria.parquet,tss_primary; nunique Dataset_ID
t1.TSS.n_regions,6,integer,data/processed/gloria.parquet,tss_primary; nunique region_grp
t1.TSS.p05,0.8,3 significant figures,data/processed/gloria.parquet,tss_primary; TSS quantile (linear)
t1.TSS.median,9.67,3 significant figures,data/processed/gloria.parquet,tss_primary; TSS quantile (linear)
t1.TSS.p95,76.51000000000015,3 significant figures,data/processed/gloria.parquet,tss_primary; TSS quantile (linear)
t1.TSS.complete_hyp,4242,integer,data/processed/gloria.parquet,tss_primary & complete_hyp
t1.TSS.anyband_le0_hyp,14,integer,data/processed/gloria.parquet,tss_primary & complete_hyp; any hyp band <= 0
