label,target,order,eval_set,k,score,variant,alpha,n_seeds,mean_cov,sd_cov,mean_n_wb,inf_rate
exploratory,Chla,earliest,common,0,cqr,augment,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,0,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,0,cqr,hybrid,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,0,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,0,scp,augment,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,0,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,0,scp,hybrid,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,0,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,1,cqr,augment,0.1,20,0.8959442936384552,0.0622516405772082,7.55,0.0
exploratory,Chla,earliest,common,1,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,1,cqr,hybrid,0.1,20,0.8959442936384552,0.0622516405772082,7.55,0.0
exploratory,Chla,earliest,common,1,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,1,scp,augment,0.1,20,0.8849656313444099,0.06969967208375477,7.55,0.0
exploratory,Chla,earliest,common,1,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,1,scp,hybrid,0.1,20,0.8849656313444099,0.06969967208375477,7.55,0.0
exploratory,Chla,earliest,common,1,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,2,cqr,augment,0.1,20,0.8975519219089273,0.060995818794711665,7.55,0.0
exploratory,Chla,earliest,common,2,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,2,cqr,hybrid,0.1,20,0.8975519219089273,0.060995818794711665,7.55,0.0
exploratory,Chla,earliest,common,2,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,2,scp,augment,0.1,20,0.8869846548111846,0.06752188482882941,7.55,0.0
exploratory,Chla,earliest,common,2,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,2,scp,hybrid,0.1,20,0.8869846548111846,0.06752188482882941,7.55,0.0
exploratory,Chla,earliest,common,2,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,5,cqr,augment,0.1,20,0.9010173945583617,0.05803084692474253,7.55,0.0
exploratory,Chla,earliest,common,5,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,5,cqr,hybrid,0.1,20,0.9010173945583617,0.05803084692474253,7.55,0.0
exploratory,Chla,earliest,common,5,cqr,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,5,scp,augment,0.1,20,0.8932464970277604,0.06312836750203364,7.55,0.0
exploratory,Chla,earliest,common,5,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,5,scp,hybrid,0.1,20,0.8932464970277604,0.06312836750203364,7.55,0.0
exploratory,Chla,earliest,common,5,scp,local,0.1,20,1.0,0.0,7.55,1.0
exploratory,Chla,earliest,common,10,cqr,augment,0.1,20,0.8877623283962238,0.05774978082675055,7.55,0.0
exploratory,Chla,earliest,common,10,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,10,cqr,hybrid,0.1,20,0.794107214326775,0.072394169161221,7.55,0.0
exploratory,Chla,earliest,common,10,cqr,local,0.1,20,0.794107214326775,0.072394169161221,7.55,0.0
exploratory,Chla,earliest,common,10,scp,augment,0.1,20,0.8858384786771814,0.06298271851207386,7.55,0.0
exploratory,Chla,earliest,common,10,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,10,scp,hybrid,0.1,20,0.8144543895001416,0.058324157319788836,7.55,0.0
exploratory,Chla,earliest,common,10,scp,local,0.1,20,0.8144543895001416,0.058324157319788836,7.55,0.0
exploratory,Chla,earliest,common,20,cqr,augment,0.1,20,0.8817818232110859,0.059187296670404066,7.55,0.0
exploratory,Chla,earliest,common,20,cqr,global,0.1,20,0.8938212049534398,0.06308683233952884,7.55,0.0
exploratory,Chla,earliest,common,20,cqr,hybrid,0.1,20,0.8019006494497587,0.07418217285467028,7.55,0.0
exploratory,Chla,earliest,common,20,cqr,local,0.1,20,0.8019006494497587,0.07418217285467028,7.55,0.0
exploratory,Chla,earliest,common,20,scp,augment,0.1,20,0.8822252654542879,0.062048778462655996,7.55,0.0
exploratory,Chla,earliest,common,20,scp,global,0.1,20,0.8838729962781511,0.06940573652512247,7.55,0.0
exploratory,Chla,earliest,common,20,scp,hybrid,0.1,20,0.8261918270146639,0.0628694732077622,7.55,0.0
exploratory,Chla,earliest,common,20,scp,local,0.1,20,0.8261918270146639,0.0628694732077622,7.55,0.0
exploratory,Chla,earliest,per_k,0,cqr,augment,0.1,20,0.9183599082707135,0.04308041970176899,20.9,0.0
exploratory,Chla,earliest,per_k,0,cqr,global,0.1,20,0.9183599082707135,0.04308041970176899,20.9,0.0
exploratory,Chla,earliest,per_k,0,cqr,hybrid,0.1,20,0.9183599082707135,0.04308041970176899,20.9,0.0
exploratory,Chla,earliest,per_k,0,cqr,local,0.1,20,1.0,0.0,20.9,1.0
exploratory,Chla,earliest,per_k,0,scp,augment,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,global,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,hybrid,0.1,20,0.9054241898751952,0.05009586398707705,20.9,0.0
exploratory,Chla,earliest,per_k,0,scp,local,0.1,20,1.0,0.0,20.9,1.0
exploratory,Chla,earliest,per_k,1,cqr,augment,0.1,20,0.9193201261672007,0.041756215099171975,20.25,0.0
exploratory,Chla,earliest,per_k,1,cqr,global,0.1,20,0.9171889302997556,0.04349930963840188,20.25,0.0
