key,value,rounding,source_file,filter
h2.Chla.n_splits,20.0,integer,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.mean_cov_wb,0.901479544336272,3 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.sd_splits,0.0614519520316217,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.se_naive,0.013741074209276243,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.se_nb,0.0339194548032474,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.nb_inflation,2.4684718448248577,2 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.n_test_wb_mean,51.15,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.n_train_wb_mean,200.85,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.test_train_ratio,0.2546676624346527,4 decimals,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
h2.Chla.ess_repeats,3.282264983453855,1 decimal,results/core_v2/metrics_*.csv + tables/confirmatory.csv,"target.hyp.waterbody.primary.lgbm.scp_gsub, alpha=0.10, B=20 seeds; EXPLORATORY: power, effective repeats and naive tests are not preregistered"
